"Indicator type","Indicator","Description"
"domain","qulckwedmall.com",""
"domain","qvaqppql.cc",""
"domain","rfwvsbau.info",""
"domain","rjzkepfu.org",""
"domain","rpwfv.com",""
"domain","rty8divrdafsp4hiqdum7zew1lybv.tz",""
"domain","rxwmbxeuv.org",""
"domain","s5nljotxaegqaddce17a9rhaxgz1h.lu",""
"domain","samdefjordbrcdbamd.net",""
"domain","sanbcfjorbbrcbband.net",""
"domain","skillboxultra.live",""
"domain","sn5nj0v9lflkxz39xvyb3upxj5rxu.ky",""
"domain","sobres.shop",""
"domain","solaiidtneu.cc",""
"domain","spotxchaqnge.com",""
"domain","spotxclhanqe.com",""
"domain","sshtijnoh.com",""
"domain","sthmsg.cc",""
"domain","sukupuoliyhteys.com",""
"domain","tbixlw.cc",""
"domain","tgazkfr9gxnxls0ggsvei3e35hnil.ad",""
"domain","tgwoihstx.info",""
"domain","thcfrccdlctlonary.com",""
"domain","thcstrcctfiqhter.com",""
"domain","themetechmount.net",""
"domain","traciklngcllck.net",""
"domain","traeklngellck.net",""
"domain","trlpadlvlsor.com",""
"domain","twqhvhxic.com",""
"domain","ty9vurvbakdlrpbi2lrvzofjwgk8m.lt",""
"domain","unrulynncdia.com",""
"domain","unrulyrrcdia.com",""
"domain","utlo2lmsqd8eurarmqfcsjzch0igf.do",""
"domain","vivavcloclty.com",""
"domain","vj575ebtn5ju9s7t7qwpr9wbqeckr.gf",""
"domain","jrgbebowkci.ws",""
"domain","vlvavcloclty.com",""
"domain","vmsmeblj.cn",""
"domain","vpmk2fpils3orkwh7dffin7x4v6v5.uk",""
"domain","vvordrefcrcnce.com",""
"domain","w45fmjsjhv9csynzmoaddswxdqhw1.cg",""
"domain","wcfpotfmv.biz",""
"domain","prkezncev.ws",""
"domain","whpdfrr2uesdukhtjs0xyceb6dpeo.sr",""
"domain","wordrcfercncc.com",""
"domain","wruvx.net",""
"domain","wxozeu.cc",""
"domain","xbiltmtepp.biz",""
"domain","xikfvomgzt.info",""
"domain","xugex.cc",""
"domain","y7pwwgscmt6j0sonhis9q2dezlwbj.ve",""
"domain","qwmsgenck.ws",""
"domain","xfhq91kg37u5ewfougz1rwmt709gg.my",""
"domain","ygrpg.cn",""
"domain","ypnubdg.com",""
"domain","yfvfouyqyritmpt1hf2y98mddpobu.cx",""
"domain","ysczsbpveml.cn",""
"domain","yvxbfnf.info",""
"domain","yxyi093woth3gt269mtdvselb2mcb.sg",""
"domain","zurfrfvi.info",""
"domain","yheqaeei.info",""
"domain","vkgrszju.ws",""
"domain","1eagucoflcgends.com",""
"domain","1bjmhnipwwzmczep2h1xu2vx6w8aj.gm",""
"domain","4bn9qeh35h9mdf0jlesm7urjq0sw1.st",""
"domain","5jx23wbookyjkipmmkdhf2qwxhfhv.sc",""
"domain","6s97vwghkkrs1rkzjslm1eeahp5oz.gw",""
"domain","7p3ah4ioiwngfg5rvwjsnvumwklgm.in",""
"domain","aximyrub.com",""
"domain","agtvwgsp.org",""
"domain","bannershop.my",""
"domain","bawgmepe.com",""
"domain","beekai.com",""
"domain","britneycdlub.com",""
"domain","britneycxlub.com",""
"domain","cannonkit.com",""
"domain","cchmrjhyu9obkkcuc4c9greg9g3if.ro",""
"domain","cpmoffcrcorvcrt.com",""
"domain","cprroffcrconvcrt.com",""
"domain","cqxgjpgjd0dj8ji5qtivgskjhmzge.no",""
"domain","cuxelwlhz.net",""
"domain","daawomtft.info",""
"domain","danann.ie",""
"domain","dmsmzvxhw.com",""
"domain","dwkoobvn.net",""
"domain","earrcdartncgoee.com",""
"domain","eftpoxwfygn.info",""
"domain","ekvnay.net",""
"domain","bwnmuibdzd.ws",""
"domain","fcxcjuqdnunehzn3lbd3x8sog1shl.cd",""
"domain","fewpn.site",""
"domain","frkvp.net",""
"domain","fsixnopsdd.com",""
"domain","gmjvei.com",""
"domain","gmlrpmwi.cn",""
"domain","googlo.top",""
"domain","hepqsiburada.com",""
"domain","hepzsiburada.com",""
"domain","hodlcgbdpay.org",""
"domain","iinlkshrinlk.net",""
"domain","jcr1sncvclf0bsplpm7lawg7vmzsr.lb",""
"domain","jolcix.cc",""
"domain","ghwtufs.ws",""
"domain","jzkfr.cc",""
"domain","kfiweymenfv.cn",""
"domain","ldcrizolhxb.biz",""
"domain","leaqucoflcgends.com",""
"domain","mbvwlixgd.net",""
"domain","mnhfy.biz",""
"domain","mskpguinq.com",""
"domain","microclan.com",""
"domain","naikcdgrccns.com",""
"domain","nalccdgrccns.com",""
"domain","nctadldlrcss.net",""
"domain","netcxccutlvc.com",""
"domain","njtgiyqx.cc",""
"domain","nnkgzcxa.cn",""
"domain","odgrfvd.cn",""
"domain","offce365.com",""
"domain","ogvlqb2txbe1dvwnokkom5fzihagj.rs",""
"domain","oncllcikpredlctlv.com",""
"domain","paotjls.cn",""
"domain","pbwh7wnv97teexitvzaoqcokknmva.la",""
"domain","ppydpgm.info",""
"domain","pxqflz.biz",""
"domain","qazctacxprcss.com",""
"domain","qcazivlykze.org",""
"domain","qhbntrzrc.org",""
"domain","qtwheqjids.biz",""
"domain","qzfdcopopap.info",""
"domain","rcirnagcplus.com",""
"domain","scicnccdircet.com",""
"domain","scrvcnnynnail.com",""
"domain","slteadlvlsor.com",""
"domain","sosodcsiktop.com",""
"domain","spotscemcrcd.info",""
"domain","stcampovvcrcd.com",""
"domain","stearrpowcrcd.com",""
"domain","tagnet.app",""
"domain","t8m0kpry7b5a8zwb38rzn13zt3yke.ae",""
"domain","tccnagcdirtbag.com",""
"domain","tccnagcdirtlbag.com",""
